,Country Name,Country Code,Net-zero Target,Target Status,Detailed Plan,Reporting Mechanism,CO₂ Removal,GHG
55,Jamaica,JAM,2050.0,Proposed / in discussion,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",10150000.0
56,Japan,JPN,2050.0,In law,No,Annual reporting,Not Specified,1134450000.0
57,Cambodia,KHM,2050.0,Achieved (self-declared),Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",71770000.0
58,Kiribati,KIR,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",120000.0
59,Saint Kitts and Nevis,KNA,2030.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",350000.0
60,South Korea,KOR,2050.0,In law,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",652660000.0
61,Laos,LAO,2050.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",39420000.0
62,Lebanon,LBN,2050.0,Proposed / in discussion,No,Less than annual reporting,Not Specified,35130000.0
63,Liberia,LBR,2050.0,In policy document,No,Less than annual reporting,,15870000.0
64,Saint Lucia,LCA,2030.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",740000.0
65,Lesotho,LSO,2050.0,Proposed / in discussion,No,Less than annual reporting,Yes (unspecified),2530000.0
66,Lithuania,LTU,2050.0,In policy document,No,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",18300000.0
67,Luxembourg,LUX,2050.0,In law,Yes,Annual reporting,Yes (unspecified),10200000.0
68,Latvia,LVA,2050.0,In policy document,Yes,Annual reporting,Not Specified,8930000.0
69,Monaco,MCO,2050.0,In policy document,Yes,Less than annual reporting,Not Specified,
70,Madagascar,MDG,2010.0,Achieved (self-declared),No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",40220000.0
71,Maldives,MDV,2030.0,In policy document,No,Less than annual reporting,Not Specified,2600000.0
72,Mexico,MEX,2050.0,Proposed / in discussion,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",670840000.0
73,Marshall Islands,MHL,2050.0,In policy document,Yes,Less than annual reporting,Not Specified,230000.0
74,Mali,MLI,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",44160000.0
75,Malta,MLT,2050.0,In policy document,Yes,Less than annual reporting,Yes (nature-based and CCS-based removals),2130000.0
76,Myanmar,MMR,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",242950000.0
77,Mozambique,MOZ,2025.0,Proposed / in discussion,Yes,Annual reporting,Not Specified,106740000.0
78,Mauritania,MRT,2030.0,Proposed / in discussion,No,Less than annual reporting,Not Specified,13210000.0
79,Mauritius,MUS,2050.0,Proposed / in discussion,No,Less than annual reporting,Not Specified,6830000.0
80,Malawi,MWI,2050.0,Declaration / pledge,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",19340000.0
81,Namibia,NAM,2050.0,Proposed / in discussion,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",21220000.0
82,Niger,NER,2050.0,Proposed / in discussion,Yes,Less than annual reporting,Yes (unspecified),43960000.0
83,Nicaragua,NIC,2050.0,Proposed / in discussion,Yes,Less than annual reporting,Not Specified,38410000.0
84,Norway,NOR,2050.0,In law,Yes,Annual reporting,Yes (nature-based and CCS-based removals),26980000.0
85,Nepal,NPL,2045.0,In policy document,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",48370000.0
86,Nauru,NRU,2050.0,Proposed / in discussion,No,Less than annual reporting,Not Specified,70000.0
87,New Zealand,NZL,2030.0,In law,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",72590000.0
88,Pakistan,PAK,2050.0,Proposed / in discussion,No,Less than annual reporting,Not Specified,439490000.0
89,Peru,PER,2050.0,In policy document,No,Less than annual reporting,Yes (unspecified),190660000.0
90,Palau,PLW,2050.0,Proposed / in discussion,Yes,Less than annual reporting,Not Specified,290000.0
91,Papua New Guinea,PNG,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",63470000.0
92,Portugal,PRT,2050.0,In law,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",61700000.0
93,Rwanda,RWA,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",7000000.0
94,Senegal,SEN,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",33600000.0
95,Solomon Islands,SLB,2050.0,Proposed / in discussion,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",46360000.0
96,Sierra Leone,SLE,2050.0,Proposed / in discussion,Yes,Less than annual reporting,Yes (unspecified),9450000.0
97,Sao Tome and Principe,STP,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",400000.0
98,Suriname,SUR,,Achieved (self-declared),No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",13830000.0
99,Slovakia,SVK,2050.0,Proposed / in discussion,Yes,Annual reporting,Not Specified,37000000.0
100,Slovenia,SVN,2050.0,In policy document,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",16810000.0
101,Sweden,SWE,2045.0,In law,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",29870000.0
102,Seychelles,SYC,2050.0,In policy document,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",780000.0
103,Chad,TCD,2050.0,Proposed / in discussion,Yes,Less than annual reporting,Not Specified,105680000.0
104,Togo,TGO,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (CCS-based removals e.g. BECCS, DACCS)",8710000.0
105,Timor-Leste,TLS,,,No,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",6380000.0
106,Tonga,TON,2050.0,Proposed / in discussion,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",310000.0
107,Trinidad and Tobago,TTO,2050.0,Proposed / in discussion,Yes,Annual reporting,"Yes (CCS-based removals e.g. BECCS, DACCS)",28470000.0
108,Tuvalu,TUV,2050.0,Proposed / in discussion,Yes,Annual reporting,Not Specified,30000.0
109,Uganda,UGA,2030.0,In policy document,Yes,Annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",59150000.0
110,Uruguay,URY,2050.0,In policy document,Yes,Annual reporting,Not Specified,34360000.0
111,United States of America,USA,2050.0,In policy document,Yes,Annual reporting,Yes (nature-based and CCS-based removals),5771000000.0
112,Saint Vincent and the Grenadines,VCT,2050.0,Proposed / in discussion,Yes,No reporting mechanism,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",340000.0
113,Vanuatu,VUT,,,Yes,Less than annual reporting,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",870000.0
