index,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
39,Mercedes_Camper_D407,privat,Angebot,1500,test,bus,1984,manuell,70,andere,150000,8,diesel,mercedes_benz,nein,25/03/2016 00:00,0,22767,27/03/2016 03:17
40,Suche_Opel_corsa_a_zu_verschenken,privat,Angebot,0,test,,1990,,0,corsa,150000,1,benzin,opel,,26/03/2016 00:00,0,56412,27/03/2016 17:43
41,E_500_Avantgarde_AMG_Ausstattung,privat,Angebot,7500,control,limousine,2002,automatik,306,e_klasse,150000,4,,mercedes_benz,,30/03/2016 00:00,0,33649,03/04/2016 11:44
42,BMW_E60_530XD,privat,Angebot,12500,test,limousine,2006,automatik,231,5er,150000,11,diesel,bmw,,23/03/2016 00:00,0,46119,04/04/2016 16:18
43,Mini_One_Pepper_Scheckheftgepflegt,privat,Angebot,6990,test,limousine,2007,manuell,95,one,100000,8,benzin,mini,nein,13/03/2016 00:00,0,59174,21/03/2016 17:17
44,Smart_For_two_Klima_regensensor_uSw,privat,Angebot,3900,test,kleinwagen,2008,automatik,61,fortwo,80000,6,benzin,smart,,17/03/2016 00:00,0,21073,19/03/2016 11:46
45,Renault_Clio_1.4,privat,Angebot,590,control,kleinwagen,1999,manuell,75,clio,125000,8,benzin,renault,nein,29/03/2016 00:00,0,84180,29/03/2016 18:57
46,BMW_120d_DPF,privat,Angebot,7999,control,limousine,2007,manuell,177,1er,150000,8,diesel,bmw,nein,15/03/2016 00:00,0,53604,16/03/2016 16:47
47,BMW_528i_touring,privat,Angebot,2100,test,kombi,1998,automatik,193,5er,150000,2,benzin,bmw,nein,03/04/2016 00:00,0,86157,06/04/2016 08:16
48,VW_Golf_6___Klima___Alu___Scheckheft_!!!,privat,Angebot,7750,control,,2017,manuell,80,golf,100000,1,benzin,volkswagen,,25/03/2016 00:00,0,48499,31/03/2016 21:47
