index,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
130,VW_Golf_6_1.4_Comfortline,privat,Angebot,8000,control,,2009,manuell,0,golf,100000,10,benzin,volkswagen,nein,20/03/2016 00:00,0,94139,06/04/2016 07:45
131,Opel_Combo_1.7_DTI___Kasten___Lkw_Zulassung___Euro3,privat,Angebot,1100,control,bus,2003,manuell,75,combo,150000,3,diesel,opel,nein,16/03/2016 00:00,0,96224,24/03/2016 11:46
132,Mercedes_Benz_E_270_T_CDI,privat,Angebot,2990,test,kombi,2001,automatik,170,e_klasse,150000,1,diesel,mercedes_benz,nein,09/03/2016 00:00,0,53520,17/03/2016 02:45
133,Opel_Corsa_1.0_TÜV_bis_01/17,privat,Angebot,300,control,kleinwagen,2000,manuell,54,corsa,150000,0,benzin,opel,,26/03/2016 00:00,0,59379,06/04/2016 09:15
134,BMW_E36_328i_Coupe_Schalter,privat,Angebot,3390,test,,2000,,0,3er,150000,2,,bmw,,20/03/2016 00:00,0,45739,28/03/2016 19:48
135,Volkswagen_Passat,privat,Angebot,2750,test,kombi,2001,manuell,131,passat,150000,12,diesel,volkswagen,nein,31/03/2016 00:00,0,90471,06/04/2016 16:45
136,Fabia_II_Combi_Greenline_1_2_TDI_DPF_mit_Gebrauchtwagengarantie,privat,Angebot,6990,control,kombi,2012,manuell,75,fabia,100000,5,diesel,skoda,nein,28/03/2016 00:00,0,44894,03/04/2016 13:58
137,Audi_Cabriolet_Typ_89_2.0L,privat,Angebot,4800,test,cabrio,1996,manuell,116,80,150000,6,benzin,audi,nein,01/04/2016 00:00,0,38300,05/04/2016 23:46
138,Mercedes_Benz_C_220_CDI_DPF_Automatik_Avantgarde,privat,Angebot,14499,control,limousine,2007,automatik,170,c_klasse,125000,5,diesel,mercedes_benz,nein,21/03/2016 00:00,0,13439,06/04/2016 15:45
139,Audi_80_5_Zylinder_b4_liebhaberfahrzeug,privat,Angebot,1450,control,limousine,1992,manuell,136,,150000,0,,audi,nein,27/03/2016 00:00,0,38709,05/04/2016 20:17
140,Verkaufe_ein_toppen_golf5,privat,Angebot,4300,test,limousine,2005,manuell,90,golf,150000,11,diesel,volkswagen,,03/04/2016 00:00,0,28779,05/04/2016 15:46
141,Honda_Civic_1.6i,privat,Angebot,2499,test,limousine,2003,manuell,110,civic,150000,12,benzin,honda,,24/03/2016 00:00,0,42853,24/03/2016 14:38
142,Alfa_Romeo_147_1.9_JTD_8V_M_Jet__DPF,privat,Angebot,3450,test,limousine,2007,manuell,120,147,150000,4,diesel,alfa_romeo,nein,02/04/2016 00:00,0,86678,04/04/2016 07:51
143,Mercedes_Benz_C180_mit_TÜV,privat,Angebot,350,test,limousine,1996,manuell,122,c_klasse,150000,9,benzin,mercedes_benz,,01/04/2016 00:00,0,49685,05/04/2016 10:48
144,BMW_530d_touring,privat,Angebot,3550,control,kombi,2000,automatik,184,5er,150000,11,diesel,bmw,nein,13/03/2016 00:00,0,72525,06/04/2016 08:45
145,Sehr_gepflegter_unfallfreier_Ford_C_Max_Style+_1_6_DPF_mit_AHK,privat,Angebot,8250,test,bus,2010,manuell,109,c_max,125000,10,diesel,ford,nein,28/03/2016 00:00,0,35606,07/04/2016 04:44
146,renault_clio_TÜV_NEU_bis_03_2018_inzahlungname_moeglich,privat,Angebot,800,test,kleinwagen,1998,manuell,54,clio,150000,11,benzin,renault,nein,09/03/2016 00:00,0,34516,14/03/2016 11:46
147,Audi_A4_b5_Avant_TÜV_10/17,privat,Angebot,1500,test,kombi,1996,manuell,126,a4,150000,0,,audi,nein,14/03/2016 00:00,0,24873,17/03/2016 00:45
148,Mercedes_Benz_GLK_250_BlueTEC_4Matic_Standhzg_Alcantara_Voll,privat,Angebot,41900,control,suv,2014,automatik,204,glk,40000,9,diesel,mercedes_benz,nein,30/03/2016 00:00,0,82131,06/04/2016 01:17
149,BMW_330d_schadow_line,privat,Angebot,4200,control,kombi,2003,automatik,204,3er,150000,1,diesel,bmw,nein,05/04/2016 00:00,0,53757,07/04/2016 13:16
150,Audi_100_c3_typ_44_bj_1985_quattro_krarosse_mit_achsen,privat,Angebot,150,control,,1985,,0,100,150000,4,benzin,audi,,06/03/2016 00:00,0,87616,07/04/2016 02:16
151,Volkswagen_Golf_3,privat,Angebot,1000,test,kleinwagen,1996,manuell,75,golf,150000,3,benzin,volkswagen,nein,27/03/2016 00:00,0,38640,01/04/2016 12:45
